year,month,women_total_stock,men_total_stock,total_stock,women_percent
2010,1,286946174.7993,7909253368.6172,8196199543.4165,3.500966189016056
2010,2,216155593.6495,5313238737.3496,5529394330.9991,3.909209231790186
2010,3,388498226.7916,6669504683.8562,7058002910.6478,5.504364785759811
2010,4,693731894.2566,11067713665.5723,11761445559.8289,5.8983556972455355
2010,5,243250105.5648,4903639147.3968,5146889252.9616,4.726157754896904
2010,6,281561311.2734,8940262352.6764,9221823663.949799,3.053206410507361
2010,7,234498020.1406,4359867918.8715,4594365939.0121,5.104034446829953
2010,8,78706673.02510001,6058071524.6269,6136778197.651999,1.2825406180593926
2010,9,144619785.85750002,11198096701.2441,11342716487.1016,1.2750013281382355
2010,10,277289831.1123,6191811221.6429,6469101052.7552,4.286373467519136
2010,11,419784354.8891,12974552328.6851,13394336683.5742,3.134043624600625
2010,12,337688648.8635,8114593928.9912,8452282577.8547,3.995236147786363
2011,1,351885932.8466,7546689778.6297,7898575711.476299,4.455055515076275
2011,2,329103170.0202,5967209229.6219,6296312399.642099,5.226919332003082
2011,3,273143738.33889997,5033979568.8025,5307123307.141399,5.1467381202797915
2011,4,355720806.8925,4718316424.9781,5074037231.8706,7.010606951367591
2011,5,354669284.3719,6439214209.7937,6793883494.1656,5.220420466092482
2011,6,226589828.69439998,5552253424.196,5778843252.8904,3.921023962383245
2011,7,177244517.2559,5029892177.205,5207136694.4609,3.4038767878792986
2011,8,213745841.4438,5979118351.1801,6192864192.6239,3.4514860135054315
2011,9,158047590.1585,11142464762.654,11300512352.8125,1.3985878270303798
2011,10,195785329.3751,4122090701.703,4317876031.0781,4.534297139749418
2011,11,208973838.4634,5389024184.896,5597998023.3594,3.7330102224293613
2011,12,321692922.0441,13910918137.2723,14232611059.3164,2.2602523226651785
2012,1,252349849.9059,9270814978.0532,9523164827.959099,2.649852800667957
2012,2,230030477.25,12756987997.7838,12987018475.0338,1.7712339263412136
2012,3,346237638.195,6784522661.4901,7130760299.6851,4.855550090644473
2012,4,142637861.9741,7305111850.7282,7447749712.7023,1.9151806582708868
2012,5,207027513.4241,8363566015.7178,8570593529.1419,2.4155563173094254
2012,6,202596265.2523,16976839741.2143,17179436006.4666,1.1792952060593822
2012,7,266322657.4465,4818748966.1726,5085071623.6191,5.237343289512122
2012,8,2211622628.5832,10220837317.1141,12432459945.6973,17.789099166562057
2012,9,1166134216.7545,5564557561.8359995,6730691778.5905,17.325622017989726
2012,10,1121275558.7651,9102633152.7336,10223908711.498701,10.967190635260813
2012,11,234810415.8973,12023826102.7529,12258636518.6502,1.9154692737651628
2012,12,206541007.2671,5954434343.1201,6160975350.3872,3.352407622506061
2013,1,416101258.9864,18150688131.131298,18566789390.1177,2.2411050733837308
2013,2,153522066.8187,16704133566.6401,16857655633.458801,0.9106964227813023
2013,3,1179958201.563,7209202594.3786,8389160795.9416,14.06527101177778
2013,4,208859627.3933,5797654873.4801,6006514500.8734,3.477218399504904
2013,5,241689061.0706,6195338856.286,6437027917.3566,3.7546685236352197
2013,6,301725186.889,9427160989.4331,9728886176.3221,3.101333301887431
2013,7,140670331.6768,6529098785.9072,6669769117.584,2.1090734806088047
2013,8,274313114.6146,5494145399.9093,5768458514.5239,4.755397198817168
2013,9,173712309.7167,4063827532.0549,4237539841.7716002,4.0993669960180386
2013,10,185957601.7564,8581821362.8855,8767778964.6419,2.1209202753207754
2013,12,219078835.4877,6275796738.6165,6494875574.1042,3.373102886854245
2014,1,234309694.5772,8326012190.3704,8560321884.9476,2.737159860649729
2014,2,153664326.5901,6917195910.4529,7070860237.043,2.1732055427298573
2014,3,280884329.8729,10426024196.4312,10706908526.3041,2.623393383653554
2014,4,157762034.9551,18329265936.1315,18487027971.0866,0.8533661289518096
2014,5,233049741.8767,8310522504.3405,8543572246.2172,2.727778675715962
2014,6,225103456.3779,6907562472.0441,7132665928.422,3.1559512058586057
2014,7,127634270.0319,6181195508.5971,6308829778.629001,2.023105306538113
2014,8,184941798.9442,8154563092.7137,8339504891.6579,2.2176592177456405
2014,9,278652105.3383,4493009643.7636,4771661749.1019,5.839728798688352
2014,10,214254073.1123,4937431063.3159,5151685136.4282,4.158912422602909
2014,11,156063302.5372,6290387559.5422,6446450862.0794,2.420918205631981
2014,12,308398835.2525,10456631773.6931,10765030608.9456,2.8648207929499483
2015,1,253825736.8674,7390246497.7858,7644072234.6532,3.3205564923460678
2015,2,398735875.6654,7443386447.2001,7842122322.8654995,5.084540373755641
2015,3,456841940.3309,11271979247.2045,11728821187.5354,3.895037131407552
2015,4,319693203.2972,7901294528.1378,8220987731.435,3.888744439731654
2015,5,251362422.1,8308477802.4023,8559840224.5023,2.936531705118539
2015,6,231736732.31870002,8635358052.389,8867094784.7077,2.613445981409334
2015,7,171019229.8201,4676345726.8077,4847364956.6278,3.5280865243345354
2015,8,324975218.7147,4596990860.6774,4921966079.392099,6.602548930098212
2015,9,374165139.439,5388997229.7647,5763162369.2037,6.492358109471391
2015,10,4878509486.1466,6903957610.5451,11782467096.6917,41.40482163974297
2015,11,1845034163.0391,9341684476.6346,11186718639.6737,16.493077393541352
2015,12,2190443241.4279,10672566649.9612,12863009891.389101,17.02901000561502
2016,1,564182114.3334,8337790695.9037,8901972810.2371,6.33772003532297
2016,2,183479620.01410002,8357155566.467,8540635186.4811,2.1483135154224637
2016,3,3167741334.2558,4255936283.0192,7423677617.275,42.67078256313855
2016,4,183727815.095,9081766872.4061,9265494687.501099,1.98292504924582
2016,5,361891803.3996,4279014290.7574,4640906094.157,7.797869555154964
2016,6,1770126268.3655,10165785689.8022,11935911958.1677,14.830255740569612
2016,7,106620699.7667,4299831621.6344,4406452321.4011,2.41964945924567
2016,8,3026132249.4737,7743865940.8886,10769998190.3623,28.09779719537633
2016,9,1774404578.0338,6980639349.1748,8755043927.2086,20.267226444397057
2016,10,148949423.2778,9649415573.823,9798364997.1008,1.5201456908563016
2016,11,308223561.8317,4336716609.158,4644940170.9897,6.635684217349707
2016,12,1771298257.5315,8359858173.0957,10131156430.627201,17.48367296132888
2017,1,317982018.6826,5568320004.5309,5886302023.2135,5.40206767217501
2017,2,1811484050.6873,8335602943.5713,10147086994.2586,17.852257024230397
2017,3,1729378389.0266001,14006643485.134,15736021874.1606,10.989933814634135
2017,4,123690675.1423,6243867677.7722,6367558352.914499,1.9425134138847029
2017,5,1738972058.8367,7596445232.1474,9335417290.9841,18.627684276268543
2017,6,1755235867.9419,7910087964.5138,9665323832.4557,18.160135121886977
2017,7,94282591.9492,3438934449.5445,3533217041.4937,2.6684630703960712
2017,8,1761881839.4835,9211183448.0866,10973065287.570099,16.05642355449482
2017,9,1687509460.4104998,9228553392.867199,10916062853.277699,15.458956980114877
2017,10,100444181.1551,8260417223.1575,8360861404.3126,1.2013616336624127
2017,11,1589250230.9105,6135532438.4376,7724782669.348101,20.573397323094113
2017,12,1617017735.0151,8555947354.2006,10172965089.2157,15.895245101443342
2018,1,317967532.0372,6286301874.7373,6604269406.7745,4.814575427692827
2018,2,134042299.8242,7574755678.908,7708797978.7322,1.738822319562781
2018,3,317172653.9785,7567197076.3634,7884369730.341901,4.022802897711724
2018,4,110736595.7294,7077104638.4627,7187841234.1921,1.5406099289259911
2018,5,234976680.5002,10012752490.7224,10247729171.2226,2.2929634124217024
2018,6,1748003917.2153,8578623447.3306,10326627364.5459,16.92715206531679
2018,7,165922305.06980002,5531134758.4611,5697057063.5309,2.9124213294603254
2018,8,1739408311.2233,30773219138.3038,32512627449.5271,5.349946921157244
2018,9,1721309524.138,6554742781.000401,8276052305.138401,20.79867865345994
2018,10,94671276.4365,2752209252.8423,2846880529.2788,3.3254390362662347
2018,11,1659322857.1827,6428769311.1863,8088092168.369,20.51562745132898
2018,12,1667219968.7063,8444762493.866,10111982462.5723,16.48756784218344
2019,1,13305495672.2574,14369373652.8072,27674869325.064598,48.0778988185027
2019,2,1799130286.7968,8939936980.6963,10739067267.493101,16.753133600743187
2019,3,1729711538.852,12793378227.244799,14523089766.096798,11.910079512762486
2019,4,163194811.4894,4508688993.1831,4671883804.6725,3.4931265055475844
2019,5,1753378607.0104,9059987339.0559,10813365946.066301,16.21491971839024
2019,6,1574548934.8805,6783596999.4697,8358145934.3502,18.83849537024042
2019,7,171276001.28669998,3740517957.5534,3911793958.8401,4.378451500484592
2019,8,255077355.8857,4039764098.885,4294841454.7707005,5.939156510710323
2019,9,213290166.4183,3116640605.6948,3329930772.1131,6.405243262248087
2019,10,113215829.8863,2664979215.7385,2778195045.6248,4.075157720283041
2019,11,186937810.4089,3098096074.5173,3285033884.9262,5.690590019989996
2019,12,212048972.6498,6960820325.85,7172869298.499801,2.9562642761962756
2020,1,145837672.634,3352878542.7814,3498716215.4154,4.168319567944289
2020,2,202938900.244,3576451406.1334,3779390306.3774,5.369620065478759
2020,3,652341876.1775,6465200389.1916,7117542265.3691,9.165268738220426
2020,4,227111593.4533,2867810253.7716,3094921847.2249,7.338201242688647
2020,5,285402198.96930003,3894489416.408,4179891615.3773003,6.8279808481000055
2020,6,197607354.8565,6841152363.405499,7038759718.261999,2.8074172548298457
2020,7,286900099.7114,5093094377.4041,5379994477.1155,5.332721082368513
2020,8,433843326.77610004,5657353517.7075,6091196844.483601,7.1224643998987425
2020,9,1771482221.4025002,6721616959.1502,8493099180.5527,20.857901029329774
2020,10,259617424.4386,3763726801.3019,4023344225.7405,6.452776841156742
2020,11,1535139282.9867,5829885608.5048,7365024891.4915,20.84364011804198
2020,12,1957387884.2633002,7807199500.0637,9764587384.327,20.045781836159055
2021,1,234779678.3064,3590128407.0146,3824908085.3209996,6.138178305706828
2021,2,1818110052.3565,8878271809.7564,10696381862.1129,16.99743030675011
2021,3,1759385212.2635,40243634039.5382,42003019251.8017,4.18871129648146
2021,4,735276413.926,4812973946.8838005,5548250360.8098,13.252401497950464
2021,5,2178808361.9304,9741593725.5039,11920402087.4343,18.277977084574655
2021,6,2166788277.6472,26998180510.224598,29164968787.8718,7.4294208692870445
2021,7,826682686.9143,6729042082.733,7555724769.6473,10.941143465617388
2021,8,1951637813.2415,8013239254.9068,9964877068.1483,19.585166980932545
2021,9,1562505490.7208,10359216662.6314,11921722153.3522,13.106373983740664
2021,10,804090219.991,5274557020.0202,6078647240.0112,13.228111259661096
2021,11,510889138.0875,7263731514.5128,7774620652.6003,6.571242005442773
2021,12,1776514168.9536,8980160837.7872,10756675006.7408,16.515458241885394
2022,1,495059604.6932,8813298672.8151,9308358277.508299,5.3184416621501125
2022,2,590945365.8138,4728923043.3676,5319868409.1814,11.108270362362822
2022,3,1648336559.5391002,7419417724.6043,9067754284.1434,18.178002048660638
2022,4,1942223396.1021998,7264082225.4764,9206305621.5786,21.096664350897008
2022,5,549222455.4717,4717787550.3109,5267010005.782599,10.427594685954913
2022,6,609785417.6452,7104656708.842299,7714442126.487499,7.9044655160676465
2022,7,502900512.2814,3336315430.0274,3839215942.3088,13.099042091885286
2022,8,2300313983.508,8651147015.0812,10951460998.5892,21.00463110633671
2022,9,1647303595.3819,8957185871.7989,10604489467.180801,15.534020760547138
2022,10,250952874.9253,3719142153.9184,3970095028.8437,6.321079800409479
2022,11,1590309500.8195,7411877223.5402,9002186724.3597,17.665813313071602
2022,12,1614062128.2972,9602524281.8583,11216586410.155499,14.389958488937667
2023,1,322493088.7591,5091740209.6437,5414233298.4028,5.956394395753792
2023,2,1613183568.5901,6698370334.1669,8311553902.757,19.408928672832115
2023,3,1769451773.4208,24037800391.7124,25807252165.133198,6.856412926485106
2023,4,160869770.0657,17475294504.3207,17636164274.386402,0.9121584918515224
2023,5,1817863924.6964002,21345593304.5872,23163457229.2836,7.847981873786218
2023,6,1712508066.3714,19634131924.7901,21346639991.1615,8.02237760640765
2023,7,312144116.6408,15867288633.8357,16179432750.4765,1.9292648973222317
2023,8,905901565.5908,12665683620.2545,13571585185.845299,6.674987138095147
2023,9,921692251.4958,12346870731.9761,13268562983.4719,6.94643611854512
2023,10,232563708.4271,3407941517.6609,3640505226.0880003,6.388226193456324
2023,11,1487079033.0418,6542501949.8414,8029580982.8832,18.520007908405592
2023,12,1927798899.3611,6370947349.2394,8298746248.6005,23.230001757026898
2024,1,693803830.7543,4671608969.18,5365412799.9343,12.931042896881964
2024,2,4296380073.8909,11621084088.267,15917464162.1579,26.991611415749826
2024,3,4181256940.1129003,11941141397.5259,16122398337.6388,25.934459951603362
2024,4,402913526.0781,4600884202.0442,5003797728.1223,8.052154542811532
2024,5,4070276343.0106,12121397187.3914,16191673530.402,25.1380830731803
2024,6,5184089391.2486,11513021173.9522,16697110565.2008,31.0478233404826
2024,7,2386224651.4202,9036669635.8821,11422894287.3023,20.88984272639842
2024,8,2061232983.8282,5178932692.9801,7240165676.8083,28.46941735643898
2024,9,4663811934.1507,13959129653.4509,18622941587.6016,25.04336875145265
2024,10,141843527.4964,3986202210.7592,4128045738.2556,3.4360938926112583
2024,11,1347461989.9102,4175866608.6177998,5523328598.528,24.395832438238543
2024,12,1501561837.0417,4179909168.2782,5681471005.3199005,26.429103231112116
